source,title,description,sentiment,url,published_at
Yahoo Entertainment,"The iPhone 16 is on shelves, but what is consumer demand indicating?","The iPhone 16 went on sale Friday, the latest generation of Apple (AAPL) devices already flying over shelves and into consumer hands this morning. BofA...",Neutral,https://finance.yahoo.com/video/iphone-16-shelves-consumer-demand-143010266.html,2024-09-21T14:30:10Z
Yahoo Entertainment,Why Apple's iPhone 16 might not be enough to drive sales,"Apple (AAPL) is set to host its iPhone 16 launch event on September 9, with investors eagerly awaiting the unveiling of the next generation of smartphones...",Neutral,https://finance.yahoo.com/video/why-apples-iphone-16-might-150000531.html,2024-08-27T15:00:00Z
Quartz India,Apple has finally dropped iOS 18. Here's what's changed,"Apple (AAPL) on Monday released its latest, artificial intelligence-capable operating software, iOS 18, Monday.Read more...",Neutral,https://qz.com/apple-ios-18-iphone-16-intelligence-ai-upgrade-1851649819,2024-09-17T13:20:00Z
Quartz India,Watch live: Apple's iPhone 16 event,"Apple (AAPL) is set to unveil its iPhone 16 lineup, smartwatches, and (potentially) new AirPods at its biggest event of the year on Monday.Read more...",Neutral,https://qz.com/apple-iphone-16-ai-event-watch-livestream-online-1851643250,2024-09-09T15:07:00Z
Quartz India,"Apple and Google have to pay billions in taxes and fines, Europe's top court rules",The European Commission ruled against Apple (AAPL) and Google (GOOGL) in two landmark legal cases — and is collecting billions in back taxes and fines.Read more...,Neutral,https://qz.com/apple-google-european-commission-eu-antitrust-tax-rules-1851644306,2024-09-10T12:50:00Z
Quartz India,Apple is getting deeper into the medical device business,"Apple (AAPL) is diving deeper into the medical device business with new health features for its products, including a clinical-grade, over-the-counter hearing aid feature.Read more...",Positive,https://qz.com/apple-airpods-hearing-aid-1851644803,2024-09-10T18:27:07Z
Quartz India,Huawei made a splash with its 'trifold' smartphone just hours after Apple's iPhone 16 launch,"As it races Apple (AAPL) in the Chinese smartphone market, Huawei debuted its new smartphone hours after the iPhone maker unveiled its latest model.Read more...",Positive,https://qz.com/huawei-mate-xt-trifold-smartphone-apple-iphone-16-ai-1851644416,2024-09-10T14:09:00Z
Quartz India,"Apple pre-orders slump because of Apple Intelligence delays, analyst says",Pre-orders for the latest iPhone models fell short of expectations as Apple’s (AAPL) artificial intelligence push failed to drive early demand for its new smartphone lineup.Read more...,Negative,https://qz.com/apple-iphone-16-pro-intelligence-ai-demand-supply-1851649042,2024-09-16T16:31:00Z
Quartz India,Apple iPhone 16 demand is so weak employees can already buy it on discount,"Despite high hopes for Apple’s (AAPL) artificial intelligence push, Apple Intelligence hasn’t seemed to convinced people to get their hands on the iPhone 16.Read more...",Negative,https://qz.com/apple-iphone-16-pre-orders-sales-intelligence-ai-1851651638,2024-09-18T19:00:00Z
Quartz India,Huawei's tri-fold smartphone has over 3 million preorders ahead of Apple's new iPhone release,Apple’s (AAPL) main competition in China has over 3 million preorders for its smartphone as the iPhone maker prepares to unveil its latest model.Read more...,Negative,https://qz.com/huawei-trifold-phone-preorders-china-apple-iphone-16-1851643088,2024-09-09T14:24:00Z
Quartz India,Are Apple's new features enough to drive iPhone sales? Maybe not,Analysts believe Apple’s (AAPL) artificial intelligence-capableiPhone 16 lineup will spark a new era of growth for the tech giant and its flagship smartphones. But most consumers aren’t buying a new iPhone just for the latest specs.Read more...,Positive,https://qz.com/apple-iphone-16-upgrades-super-cycle-intelligence-sales-1851644539,2024-09-10T15:14:00Z
Quartz India,Resellers are hiking prices on Huawei's 'trifold' smartphone before it's even out,Huawei is preparing to release its new ‘trifold’ smartphone on Friday — the same day as Apple’s (AAPL) latest iPhone comes out — but it’s already being resold in China for up to three times its price.Read more...,Neutral,https://qz.com/resellers-raise-prices-huawei-mate-xt-trifold-iphone-16-1851652335,2024-09-19T14:19:00Z
Quartz India,Apple just took a bite out of the teams behind its Books and News apps,"Apple (AAPL) carried out at least its fourth wave of job cuts this year, after avoiding much of the dreaded post-pandemic layoffs that battered the tech sector last year.Read more...",Neutral,https://qz.com/apple-layoffs-digital-services-books-news-tech-job-cuts-1851633759,2024-08-28T13:00:00Z
Quartz India,Apple's big week: iPhone 16 event highlights and commentary,"Apple (AAPL) held its biggest and most highly-anticipated event of the year Monday, where it unveiled its iPhone 16 lineup, a new series of Apple Watches and AirPods, and showed its artificial intelligence play, Apple Intelligence, in action.Read more...",Neutral,https://qz.com/apple-aapl-iphone-16-intelligence-analyst-roundup-1851646691,2024-09-12T13:38:00Z
Quartz India,"Apple's iPhone 16 will be the most successful iPhone launch ever, analysts say","Apple’s (AAPL) latest lineup of iPhones could be its most successful smartphone launch to date, driving an upgrade “super cycle” that could see Apple selling upwards of 240 million iPhones next year.Read more...",Positive,https://qz.com/apple-iphone-16-intelligence-ai-launch-upgrade-1851644494,2024-09-10T14:35:00Z
Quartz India,Apple's iPhone 16 is in stores now — but it's missing a key selling point,"Apple’s (AAPL) latest lineup of iPhones hit stores on Friday, but it’s notably missing one of its key selling points that the tech giant is hoping will convince users to upgrade their older models.Read more...",Negative,https://qz.com/apple-iphone-16-intelligence-ai-sales-stores-1851653380,2024-09-20T12:15:00Z
Techmeme.com,Apple is gearing up for a battle with app makers and legislators over whether regulation of teen's social media use should happen in apps or at the device level (Wall Street Journal),"Wall Street Journal:
Apple is gearing up for a battle with app makers and legislators over whether regulation of teen's social media use should happen in apps or at the device level  —  Earlier this year, freshman Louisiana legislator Kim Carver got a close l…",Neutral,https://www.techmeme.com/240902/p4,2024-09-02T10:10:02Z
Quartz India,Sam Altman and former Apple executives are making an AI device,"OpenAI chief executive Sam Altman is teaming up with former Apple (AAPL) design executive Jony Ive and Laurene Powell Jobs, widow of Apple founder Steve Jobs, to start a new artificial intelligence device company.Read more...",Neutral,https://qz.com/openai-lovefrom-altman-ive-jobs-ai-device-startup-1851654649,2024-09-23T12:55:00Z
Quartz India,"Larry Ellison's massive net worth, Huawei’s new smartphone, and the WeWork founder's crypto bust: Business news roundup",Boeing’s (BA) first foray into manned space flight has been an unmitigated cock up. Starliner launched to the International Space Station with two astronauts onboard in June and landed back on Earth two months later without them after issues were uncovered wi…,Neutral,https://qz.com/business-news-roundup-1851648010,2024-09-14T13:00:00Z
Quartz India,The most notable stocks Warren Buffett has bought — and sold — in 2024,"Warren Buffett’s investment success has grown Berkshire Hathaway’s (BRK.A) cash pile to a record $276.9 billion in the second quarter of 2024, and (briefly) gave the Omaha-based conglomerate a $1 trillion market capitalization.Read more...",Positive,https://qz.com/warren-buffett-berkshire-hathaway-stock-investments-1851646729,2024-09-12T15:42:00Z
Yahoo Entertainment,Berkshire Hathaway tops $1 trillion market cap for first time as Buffett accelerates BofA stock sales,Berkshire Hathaway reached an exclusive territory Wednesday that in the US currently includes just six other companies — all from the tech world.,Neutral,https://finance.yahoo.com/news/berkshire-hathaway-tops-1-trillion-market-cap-for-first-time-as-buffett-accelerates-bofa-stock-sales-145441665.html,2024-08-28T14:54:41Z
Jalopnik,Wall Street Doesn’t Know If Tesla Is A Car Company,"Is Tesla a car company or a tech company? It’s a question not even analysts on Wall Street can agree on. CEO Elon Musk seems to split the difference between the two, and it’s hard to argue the cars his companies build aren’t more tech-forward (for better or w…",Neutral,https://jalopnik.com/wall-street-doesn-t-know-if-tesla-is-a-car-company-1851646875,2024-09-12T15:29:00Z
Yahoo Entertainment,Technical Assessment: Bullish in the Intermediate-Term,"Find the latest Apple Inc. (AAPL) stock forecast based on top analyst's estimates, plus more investing and trading data from Yahoo Finance",Positive,https://finance.yahoo.com/research/reports/ARGUS_41034_TechnicalAnalysis_1724756026000/,2024-08-27T10:53:46Z
Biztoc.com,"Market Clubhouse Morning Memo - September 26th, 2024 (Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA)","Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA.
Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account pr…",Neutral,https://biztoc.com/x/6d3508733fe05dfd,2024-09-26T16:32:59Z
Biztoc.com,"Market Clubhouse Morning Memo - August 27th, 2024 (Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA)","Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA.
Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account pr…",Neutral,https://biztoc.com/x/fc2c51cee5c54a11,2024-08-27T14:33:31Z
